open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713891000000,66714.60,66750.10,66680.00,66716.80,535.490,1713891299999,35725688.92000,8020,217.103,14484233.39630,0
1713891300000,66716.90,66735.00,66653.20,66723.40,452.080,1713891599999,30151643.30020,8546,219.641,14648816.47610,0
1713891600000,66723.40,66775.80,66648.80,66660.00,418.458,1713891899999,27916635.52010,8937,201.726,13459759.07390,0
1713891900000,66660.00,66735.60,66634.80,66693.60,227.072,1713892199999,15142559.07100,6312,111.161,7413267.32020,0
1713892200000,66693.70,66709.20,66600.00,66600.00,265.265,1713892499999,17679920.11750,6549,86.460,5762715.40710,0
1713892500000,66600.00,66629.80,66543.20,66629.80,474.306,1713892799999,31576890.71610,9619,227.012,15114521.24220,0
1713892800000,66629.70,66695.90,66597.70,66695.80,284.918,1713893099999,18993245.24590,6553,169.378,11291659.76330,0
1713893100000,66695.90,66700.00,66657.00,66661.20,165.738,1713893399999,11051070.73430,4308,74.303,4954408.27750,0
1713893400000,66661.20,66697.00,66595.20,66638.00,256.620,1713893699999,17102472.78760,6058,93.416,6225680.58190,0
1713893700000,66638.00,66734.20,66638.00,66680.10,354.897,1713893999999,23670386.79720,7088,209.482,13971226.22270,0
1713894000000,66680.20,66756.70,66680.10,66734.30,310.884,1713894299999,20745691.07270,5854,167.581,11182842.95720,0
1713894300000,66734.30,66887.00,66734.30,66750.00,1270.031,1713894599999,84865334.69970,16761,761.568,50891166.92160,0
1713894600000,66750.00,66766.40,66676.00,66711.60,431.890,1713894899999,28815231.42990,8512,190.177,12688749.89670,0
1713894900000,66711.70,66743.20,66696.50,66723.60,191.814,1713895199999,12797074.36780,4764,62.709,4183696.95230,0
1713895200000,66723.60,66785.80,66704.10,66726.20,461.136,1713895499999,30777136.76820,7873,233.979,15614614.98980,0
1713895500000,66726.20,66796.30,66688.80,66727.60,570.388,1713895799999,38070790.69020,9328,352.770,23545385.72950,0
1713895800000,66727.60,66738.60,66665.00,66725.00,575.285,1713896099999,38376078.80090,8832,296.068,19750637.87550,0
1713896100000,66725.10,66826.80,66717.90,66784.40,277.794,1713896399999,18551037.60140,7230,152.390,10176689.81410,0
1713896400000,66784.40,66816.00,66742.80,66769.40,202.327,1713896699999,13512277.29540,5116,109.747,7329520.91720,0
1713896700000,66769.40,66780.70,66720.00,66722.30,167.129,1713896999999,11154093.96130,4218,75.284,5024091.52360,0
1713897000000,66722.30,66751.00,66657.10,66657.10,222.314,1713897299999,14826183.72370,5826,78.168,5213428.62500,0
1713897300000,66657.10,66710.00,66650.00,66654.00,225.737,1713897599999,15050892.19900,5178,84.890,5660476.11940,0
1713897600000,66654.00,66656.40,66551.50,66655.40,427.304,1713897899999,28463111.56610,8929,195.876,13048132.21760,0
1713897900000,66655.50,66742.20,66601.00,66658.50,473.380,1713898199999,31564490.19500,8456,213.397,14229538.46530,0
1713898200000,66658.40,66692.00,66631.50,66690.30,226.636,1713898499999,15108468.15590,5657,131.267,8751172.01700,0
1713898500000,66690.20,66757.00,66685.60,66756.40,167.829,1713898799999,11200177.16300,4518,100.659,6717400.84340,0
1713898800000,66756.30,66756.40,66659.00,66671.80,266.522,1713899099999,17777213.72410,6060,99.664,6647562.30880,0
1713899100000,66671.80,66702.00,66645.20,66680.60,194.546,1713899399999,12970027.02560,4896,101.202,6747113.61590,0
1713899400000,66680.70,66717.90,66645.00,66653.20,164.207,1713899699999,10948788.87730,4574,66.539,4436788.26470,0
1713899700000,66653.30,66653.30,66500.00,66554.00,609.427,1713899999999,40562820.05960,10675,229.530,15277664.21400,0
1713900000000,66554.00,66611.30,66536.90,66608.00,255.321,1713900299999,16996062.88450,5678,129.163,8598286.14080,0
1713900300000,66607.90,66608.00,66548.10,66550.80,157.213,1713900599999,10465310.42240,3705,71.037,4728570.74810,0
1713900600000,66550.90,66569.90,66401.10,66506.80,807.067,1713900899999,53639727.31020,12548,319.490,21235305.52120,0
1713900900000,66506.90,66540.70,66450.50,66540.70,349.079,1713901199999,23213952.53570,6960,227.286,15114697.27020,0
1713901200000,66540.60,66552.60,66466.00,66482.70,228.208,1713901499999,15174843.87140,5142,115.486,7679216.24300,0
1713901500000,66482.70,66515.00,66414.90,66450.20,503.953,1713901799999,33493848.23970,8033,231.534,15388925.78410,0
