2024-05-01 13:31:06,150 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:06,330 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:06,331 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:08,500 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:08,500 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:09,014 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:09,015 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:09,178 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:09,179 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:09,563 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:09,563 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:09,666 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:09,667 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:09,782 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:09,782 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:10,068 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:10,069 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:11,199 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:11,200 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:12,191 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:12,191 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:31:12,314 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:31:12,314 ERROR	 :: Binance websocket connection error 'dict' object is not callable
